number	value	datetime_start	datetime_complete	duration	params_max_depth	params_min_samples_split	params_n_estimators	state
0	3141.411078595406	2025-03-16 10:34:37.982334	2025-03-16 10:47:13.485655	0 days 00:12:35.503321	13	2	98	COMPLETE
1	6541.538386521133	2025-03-16 10:47:13.486653	2025-03-16 10:51:09.844524	0 days 00:03:56.357871	3	3	118	COMPLETE
2	2753.1480073444163	2025-03-16 10:51:09.846524	2025-03-16 10:55:03.957591	0 days 00:03:54.111067	17	5	25	COMPLETE
3	3664.528224755742	2025-03-16 10:55:03.959592	2025-03-16 11:04:54.730595	0 days 00:09:50.771003	10	6	98	COMPLETE
4	5651.774777552023	2025-03-16 11:04:54.732593	2025-03-16 11:07:42.988594	0 days 00:02:48.256001	4	2	64	COMPLETE
5	3013.559484936374	2025-03-16 11:07:42.989591	2025-03-16 11:17:56.141592	0 days 00:10:13.152001	14	9	77	COMPLETE
6	4683.390333136438	2025-03-16 11:17:56.142590	2025-03-16 11:30:46.630535	0 days 00:12:50.487945	6	7	197	COMPLETE
7	2813.3078897658656	2025-03-16 11:30:46.631537	2025-03-16 11:38:29.091714	0 days 00:07:42.460177	16	9	52	COMPLETE
8	2672.6769774182912	2025-03-16 11:38:29.092716	2025-03-16 11:48:05.530918	0 days 00:09:36.438202	18	7	59	COMPLETE
9	5651.3653883922525	2025-03-16 11:48:05.531918	2025-03-16 11:52:26.429539	0 days 00:04:20.897621	4	7	98	COMPLETE
10	2597.0926017754055	2025-03-16 11:52:26.430538	2025-03-16 12:17:53.756125	0 days 00:25:27.325587	20	10	149	COMPLETE
11	2596.7579185116274	2025-03-16 12:17:53.758129	2025-03-16 12:44:09.815682	0 days 00:26:16.057553	20	10	154	COMPLETE
12	2596.2514752375655	2025-03-16 12:44:09.816685	2025-03-16 13:11:09.085052	0 days 00:26:59.268367	20	10	158	COMPLETE
13	2595.9018589461807	2025-03-16 13:11:09.087055	2025-03-16 13:39:40.085766	0 days 00:28:30.998711	20	10	167	COMPLETE
14	3663.712005650104	2025-03-16 13:39:40.087763	2025-03-16 15:20:19.941336	0 days 01:40:39.853573	10	9	183	COMPLETE
15	2893.4262570591413	2025-03-16 15:20:19.943339	2025-03-16 15:42:14.509732	0 days 00:21:54.566393	15	8	157	COMPLETE
16	2672.9791549017314	2025-03-16 15:42:14.512735	2025-03-16 16:02:30.003591	0 days 00:20:15.490856	18	10	127	COMPLETE
17	3298.0873071335045	2025-03-16 16:02:30.005593	2025-03-16 16:21:41.267715	0 days 00:19:11.262122	12	4	165	COMPLETE
18	2590.4391095423375	2025-03-16 16:21:41.271769	2025-03-16 16:46:44.009999	0 days 00:25:02.738230	20	8	137	COMPLETE
19	4385.3073382072425	2025-03-16 16:46:44.011995	2025-03-16 16:56:28.769777	0 days 00:09:44.757782	7	8	135	COMPLETE
